# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Wed Aug 27 04:51:00 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: luminosity functions
age     Z  magbinc 	 mbolmag  Gmag    G_BPmag  G_RPmag
1.3e+10 0.000196 -10.7750           0          0          0          0
1.3e+10 0.000196 -10.7250           0          0          0          0
1.3e+10 0.000196 -10.6750           0          0          0          0
1.3e+10 0.000196 -10.6250           0          0          0          0
1.3e+10 0.000196 -10.5750           0          0          0          0
1.3e+10 0.000196 -10.5250           0          0          0          0
1.3e+10 0.000196 -10.4750           0          0          0          0
1.3e+10 0.000196 -10.4250           0          0          0          0
1.3e+10 0.000196 -10.3750           0          0          0          0
1.3e+10 0.000196 -10.3250           0          0          0          0
1.3e+10 0.000196 -10.2750           0          0          0          0
1.3e+10 0.000196 -10.2250           0          0          0          0
1.3e+10 0.000196 -10.1750           0          0          0          0
1.3e+10 0.000196 -10.1250           0          0          0          0
1.3e+10 0.000196 -10.0750           0          0          0          0
1.3e+10 0.000196 -10.0250           0          0          0          0
1.3e+10 0.000196 -9.9750           0          0          0          0
1.3e+10 0.000196 -9.9250           0          0          0          0
1.3e+10 0.000196 -9.8750           0          0          0          0
1.3e+10 0.000196 -9.8250           0          0          0          0
1.3e+10 0.000196 -9.7750           0          0          0          0
1.3e+10 0.000196 -9.7250           0          0          0          0
1.3e+10 0.000196 -9.6750           0          0          0          0
1.3e+10 0.000196 -9.6250           0          0          0          0
1.3e+10 0.000196 -9.5750           0          0          0          0
1.3e+10 0.000196 -9.5250           0          0          0          0
1.3e+10 0.000196 -9.4750           0          0          0          0
1.3e+10 0.000196 -9.4250           0          0          0          0
1.3e+10 0.000196 -9.3750           0          0          0          0
1.3e+10 0.000196 -9.3250           0          0          0          0
1.3e+10 0.000196 -9.2750           0          0          0          0
1.3e+10 0.000196 -9.2250           0          0          0          0
